ABIKUU,n,y
ABILAB,n,y
ABILEF,n,y
ABILIJ,y,y
ABILOP,n,y
ABILUV,y,y
ABIMAC,n,y
ABIMEG,n,y
ABIMIK,n,y
ABIMUW,n,n
ABINAD,n,n
ABINIL,n,y
ABINUX,n,y
ABIPAF,y,y
ABIPEJ,n,y
ABIQEK,n,n
ABIQIO,y,y
ACDMNP,n,y
ACIHOK,n,y
ADARUU,n,y
AHOYEB,n,y
AHOYIF,n,y
AJOHUD,n,y
AJOJAL,n,y
AJOQEX,n,n
AJUNOJ,n,y
AKUVEH,n,n
AKUVIL,n,n
ALABEV,n,n
ALABIZ,n,n
ALABOF,n,n
ALABOF01,n,y
APEQUJ,n,y
AQIBEJ,y,y
BAGBUJ,n,n
BAMZIA,n,y
BAMZOG,n,n
BANXUJ,n,y
BATGUY10,n,n
BATVUP,n,y
BATWAW,n,y
BATWEA,n,y
BATWIE,n,y
BCDEXD10,n,y
BEFDIA,n,y
BEFDOG,n,n
BEFDUM,n,y
BEFFAU,n,n
BEKXIB,y,y
BEQWID,n,n
BEXNAT,n,y
BEYLUO,y,y
BIKXUQ,n,y
BIMXOL,n,y
BOBPEN,n,n
BOBPIR,n,y
BOHXEC,n,y
BOHXIG,n,y
BOKFEO,n,y
BOSMAY,n,y
BOSMEC,n,y
BOSMIG,n,y
BOSZEP,n,y
BOSZIT,n,y
BOSZOZ,n,y
BOTBAO,n,y
BOTBES,n,y
BOYFOK04,n,y
BUKVAG,n,y
BUKVEK,n,y
BUKVIO,n,y
BUKVOU,n,n
BUKVUA,n,n
BUKWAH,n,y
BUVSEQ02,n,y
BUVSEQ03,n,y
CABFOD,n,y
CABFUJ,n,y
CABVUZ,n,n
CACBEO,n,y
CACQED,n,n
CAFJAX,n,y
CAFJEB,n,y
CAHTEM,n,y
CAHTEM01,n,y
CAHTEM02,n,y
CAHTEM03,n,y
CAHTEM04,n,y
CAHVAK,n,y
CAHVAK01,n,y
CAHVAK02,n,y
CAHVAK03,n,y
CAHVAK04,n,y
CANHOR,n,n
CAVDAG,n,n
CAVDIO,n,n
CAVDOU,n,n
CAXFIT,n,n
CAXFOZ,n,y
CAXROJ01,n,y
CDEXIA01,n,y
CDEXKR10,n,y
CDEXME10,n,y
CDEXTI10,n,n
CELMUE,n,y
CEQCUW,n,y
CERNIZ,n,n
CERNOF,n,n
CERQAU,n,y
CETPUP,y,y
CHXAMH,n,n
CHXAMH02,n,y
CHXAMH03,n,n
CIDMOR,n,y
CIDMUX,n,y
CIDNAE,n,n
CIJMEQ,n,y
CILREX,n,y
CILRIB,n,y
CILROH,n,y
CILRUN,n,n
CILSAU,n,y
CILSEY,n,y
CILSIC,n,y
CISXAD01,n,y
CITLAS,n,n
COFFAG,y,y
COFFEK,n,y
CONCUF,n,y
COQFOF,n,n
COQFUL,n,n
COYCAU,n,n
COYDEA,n,n
CUBVEC,n,y
CUBVIG,y,y
CUBZUV,y,y
CYDXKR10,n,y
CYDXLI10,n,y
CYDXPL,n,y
DAJGAZ,y,y
DAJGED,y,y
DAJGIH,n,n
DAJJAB,n,n
DAJJIK,n,y
DAJJOQ,y,y
DANYAV,y,y
DANYEZ,y,y
DANYID,y,y
DATYOO,n,y
DAWMIZ,n,y
DAXMUK,n,y
DAYWIL,n,n
DAYWOR,n,n
